Parameters,Random ,Plant Height (PH),Number of Pods (NP),Biological Weight (BW),Sugars (Su),Relative Water Content in Leaves (RWCL),ChlorophyllA663,Chlorophyllb649,Protein Percentage (PPE),Weight of 300 Seeds (W3S),Leaf Area Index (LAI),Seed Yield per Unit Area (SYUA),Number of Seeds per Pod (NSP),Protein Content (PCO)
C2S2G6,R2,52.0,136.0,62.0,0.265,0.633,4.3,1.2,33.5,44.4,0.07,3985.2,2.06,0.3
C1S3G2,R1,52.2,159.0,131.0,0.163,0.654,1.5,3.2,35.3,34.3,0.09,5453.4,2.2,0.23
C1S3G2,R3,52.6,158.0,129.0,0.162,0.692,1.7,3.1,37.6,37.7,0.09,5128.4,2.6,0.48
C1S1G5,R2,51.2,130.0,113.0,0.43,0.762,1.1,3.5,37.4,36.4,0.1,5740.7,2.6,0.6
C1S1G3,R1,47.0,129.0,134.0,0.745,0.722,7.2,1.3,37.6,33.2,0.09,2775.4,2.2,0.5
C1S1G2,R3,50.0,137.7,225.0,0.512,0.739,1.9,3.1,39.1,36.3,0.08,4998.7,1.84,0.42
C1S1G1,R2,51.0,142.0,68.0,0.165,0.753,1.4,3.3,38.1,53.9,0.09,6381.2,2.05,0.12
C1S2G1,R1,50.0,159.0,83.0,0.657,0.733,6.3,1.3,36.2,37.7,0.04,3789.3,1.7,0.33
C1S1G2,R2,49.2,138.0,226.0,0.579,0.719,1.8,3.2,36.9,37.7,0.06,5187.7,2.2,0.6
C2S3G5,R1,52.3,128.0,133.0,0.196,0.826,1.5,3.3,39.6,42.2,0.04,5660.2,2.08,0.4
C1S1G6,R2,44.2,147.3,115.0,0.463,0.762,1.1,2.1,37.3,31.9,0.1,3029.3,1.6,0.48
C2S1G3,R1,50.7,155.0,182.0,0.445,0.442,3.2,1.1,34.8,36.3,0.07,5233.5,1.8,0.84
C2S3G5,R3,52.2,129.0,132.0,0.194,0.811,1.3,3.1,39.6,43.3,0.05,5457.4,1.86,0.36
C1S1G5,R1,50.5,130.3,111.0,0.433,0.732,1.4,3.1,33.2,33.6,0.08,5567.4,1.86,0.82
C2S1G3,R1,53.2,129.0,73.0,0.989,0.673,1.6,3.1,33.0,30.3,0.07,2334.2,1.88,0.78
C1S2G2,R1,50.0,166.3,85.0,0.523,0.676,8.5,1.3,36.5,35.2,0.08,4358.8,2.2,0.58
C2S3G6,R3,53.0,123.3,35.0,0.163,0.711,4.4,7.7,37.3,27.3,0.03,2133.4,2.2,0.32
C1S3G2,R1,52.2,159.0,131.0,0.163,0.654,1.5,3.2,35.3,34.3,0.09,5453.4,2.2,0.23
C1S1G1,R2,51.0,142.0,68.0,0.165,0.753,1.4,3.3,38.1,53.9,0.09,6381.2,2.05,0.12
C2S2G5,R1,50.6,141.0,69.0,0.18,0.623,1.3,3.3,37.3,30.6,0.06,3112.2,2.1,0.5
C1S2G1,R1,50.0,159.0,83.0,0.657,0.733,6.3,1.3,36.2,37.7,0.04,3789.3,1.7,0.33
C1S1G5,R1,50.5,130.3,111.0,0.433,0.732,1.4,3.1,33.2,33.6,0.08,5567.4,1.86,0.82
C2S2G2,R1,49.5,128.0,90.0,0.661,0.654,1.3,1.2,36.9,34.2,0.06,3987.4,1.85,0.14
C2S1G5,R3,50.4,147.8,150.0,0.989,0.662,5.2,1.2,34.8,35.3,0.09,3356.6,1.88,1.7
C2S3G2,R3,55.3,146.0,85.0,0.162,0.598,8.0,2.2,33.2,35.2,0.09,3123.8,2.1,0.33
C1S2G1,R1,50.0,159.0,83.0,0.657,0.733,6.3,1.3,36.2,37.7,0.04,3789.3,1.7,0.33
C1S1G6,R2,44.2,147.3,115.0,0.463,0.762,1.1,2.1,37.3,31.9,0.1,3029.3,1.6,0.48
C2S3G2,R1,55.3,147.0,86.0,0.161,0.633,8.2,2.7,37.3,36.6,0.08,3352.2,2.2,0.36
C1S1G4,R2,44.3,159.0,96.0,0.546,0.686,6.2,1.3,39.6,47.5,0.1,4679.9,1.84,1.15
C2S1G1,R2,51.2,148.0,75.0,0.352,0.613,1.7,2.3,33.4,37.3,0.1,3251.1,1.6,0.6
C2S1G3,R3,51.3,130.0,72.0,0.998,0.654,1.7,3.2,31.7,31.1,0.09,2432.3,1.8,0.83
C1S1G5,R1,50.5,130.3,111.0,0.433,0.732,1.4,3.1,33.2,33.6,0.08,5567.4,1.86,0.82
C1S1G3,R2,49.0,132.7,137.0,0.772,0.72,7.4,1.2,39.9,34.3,0.09,2877.5,1.86,0.6
